NumberPlate,Timestamp
AAGTR Od2040-20¢,2024-07-13 12:34:31
,2024-07-13 12:34:31
2008981?,2024-07-13 12:34:32
MH12JC2813,2024-07-13 12:34:32
"aE
p50As 4539",2024-07-13 12:34:33
"Sane
oG.CK.857",2024-07-13 12:34:33
"o1MA
989",2024-07-13 12:34:35
IH06 AW8929,2024-07-13 12:34:35
TN07BY5200,2024-07-13 12:34:36
"ee
Ke 044
¢ 440s",2024-07-13 12:34:36
"ree
TN 37 CR 4019 |",2024-07-13 12:34:37
N19 H 3322,2024-07-13 12:34:37
N45BN 1065,2024-07-13 12:34:37
HHAAEU34Y9,2024-07-13 12:34:38
uo,2024-07-13 12:34:38
"_—— }
KA 05
WS 4495.",2024-07-13 12:34:39
{06 AW 8999,2024-07-13 12:34:39
Ty,2024-07-13 12:34:40
R26 DA 0471,2024-07-13 12:34:40
JW 4-15-A-1138,2024-07-13 12:34:41
L3CAY 9324,2024-07-13 12:34:41
"BOeF sate

BOeF sate",2024-07-13 12:34:41
1R 26CT4063,2024-07-13 12:34:42
KLOTAK8000,2024-07-13 12:34:42
N49 TC 94,2024-07-13 12:34:42
IR 26 CH 3604,2024-07-13 12:34:43
arco,2024-07-13 12:34:43
HH12DE 1433,2024-07-13 12:34:43
"“441135
402 cg 4545
 —_",2024-07-13 12:34:43
io MH14 9739,2024-07-13 12:34:44
HAEPAGGO,2024-07-13 12:34:44
">
Fi03 1357",2024-07-13 12:34:44
5-704,2024-07-13 12:34:44
ATE,2024-07-13 12:34:45
L3ChY2234,2024-07-13 12:34:45
403086467,2024-07-13 12:34:45
TOEH7958:,2024-07-13 12:34:46
_,2024-07-13 12:34:46
H20EE 7697,2024-07-13 12:34:46
0108,2024-07-13 12:34:47
BEM,2024-07-13 12:34:47
1H20 EE 7598,2024-07-13 12:34:48
97 TC 0630,2024-07-13 12:34:48
LO1KLKLO1,2024-07-13 12:34:49
ten MIR,2024-07-13 12:34:49
"TN42R
eE6g7",2024-07-13 12:34:49
N My,2024-07-13 12:34:50
HN5TC384,2024-07-13 12:34:50
J pL 120 353,2024-07-13 12:34:51
ONE 46,2024-07-13 12:34:51
fi01 BU5207,2024-07-13 12:34:51
ILOCABT2SN,2024-07-13 12:34:53
TAL SOU,2024-07-13 12:34:54
HR260¢6167,2024-07-13 12:34:54
H02BN5048,2024-07-13 12:34:54
"17

=
>

H1413",2024-07-13 12:34:54
40785427,2024-07-13 12:34:55
HR 26 CT 6702,2024-07-13 12:34:55
PN,2024-07-13 12:34:55
"——""

IH 20 EE 7598:",2024-07-13 12:34:55
PIGTC1366,2024-07-13 12:34:56
R99 EX TEMP 6037,2024-07-13 12:34:56
"i se eu

mmgcnat YOK 9

MILLENAIUMS TOYOTA 4",2024-07-13 12:34:56
ae,2024-07-13 12:34:57
"Foe
Qi?! we",2024-07-13 12:34:57
1H 20813665,2024-07-13 12:34:58
TUS 0055,2024-07-13 12:34:58
"LONLOKLpY
COTO 04",2024-07-13 12:34:59
H20EE 7597:,2024-07-13 12:34:59
HO 1AV8866,2024-07-13 12:35:00
TSOBER 1643,2024-07-13 12:35:00
H02CT2727,2024-07-13 12:35:01
H 20BN 3525,2024-07-13 12:35:02
MN4-T0-94,2024-07-13 12:35:02
"—— 4
101 AN0001",2024-07-13 12:35:02
DL8CX 4850,2024-07-13 12:35:03
iJ03JL0126,2024-07-13 12:35:03
Al 5927,2024-07-13 12:35:03
26 BC S514,2024-07-13 12:35:03
26 BU 0380,2024-07-13 12:35:04
: 266799,2024-07-13 12:35:04
vi g4042555,2024-07-13 12:35:04
x1 64042555,2024-07-13 12:35:05
01008,2024-07-13 12:35:05
LO7B8599,2024-07-13 12:35:05
L10 AV 6633,2024-07-13 12:35:05
L 40 AW 2814,2024-07-13 12:35:06
L10AW2814,2024-07-13 12:35:06
L 43.B 2344,2024-07-13 12:35:06
KL54:4-2670,2024-07-13 12:35:06
"02.08 4545
=",2024-07-13 12:35:07
MHO3BS 7778,2024-07-13 12:35:08
EAN 3909,2024-07-13 12:35:08
MH1206723,2024-07-13 12:35:08
WH 120E 1633,2024-07-13 12:35:08
n17J02813,2024-07-13 12:35:09
"MaDe

$< _.__",2024-07-13 12:35:09
"———

H 14EH5819

i",2024-07-13 12:35:09
HIAEH7 958:,2024-07-13 12:35:09
HHI4EU3496,2024-07-13 12:35:10
4 208¥3665,2024-07-13 12:35:10
"i

20BY £265",2024-07-13 12:35:11
20051933,2024-07-13 12:35:11
MM 20EE 0 a,2024-07-13 12:35:11
MH 20 EE 7598,2024-07-13 12:35:12
NOSCH 7790,2024-07-13 12:35:12
21 AT 0480,2024-07-13 12:35:13
me,2024-07-13 12:35:13
"TW Ye
X 2697",2024-07-13 12:35:14
N45BA 1065,2024-07-13 12:35:14
iV TALSOU,2024-07-13 12:35:14
NOS 2376,2024-07-13 12:35:15
TSOBERIEL?,2024-07-13 12:35:15
"—.
pa2FH 20",2024-07-13 12:35:15
"et
p50AS 4535",2024-07-13 12:35:16
BF.2007,2024-07-13 12:35:16
He20EE 0 i,2024-07-13 12:35:17
"——
H20EE 7601",2024-07-13 12:35:17
TEMES,2024-07-13 12:35:17
"arc
Pts",2024-07-13 12:35:18
"UP 80 1
oe ""008",2024-07-13 12:35:18
beat,2024-07-13 12:35:19
M01 D 1330,2024-07-13 12:35:19
TN 38 BW 1139.,2024-07-13 12:35:20
p32 FH 2653,2024-07-13 12:35:20
"eee
KL 7 B7 99 |",2024-07-13 12:35:20
RI 27 TC 0530,2024-07-13 12:35:21
BLISS,2024-07-13 12:35:21
NStAM [-,2024-07-13 12:35:21
IH 20DV 2362.,2024-07-13 12:35:22
MH 20BN3525.,2024-07-13 12:35:22
0AV6633,2024-07-13 12:35:22
